256710782	2021-10-21T14:14:09.000Z	1451190073395875852	Fantastic   class visit by award-winning  rockstar alum  sharing lessons learned on the  &  case study competition! Thank you to the entire team      	{'place_id': '1d9a5370a355ab0c'}
884571657146380288	2021-10-21T14:09:31.000Z	1451188904392945671	 I can’t wait to visit ミナミ when I get to Osaka next year✨	{'place_id': '1d9a5370a355ab0c'}
409468260	2021-10-21T12:37:43.000Z	1451165803483701255	What are we to do as Christians in a culture that is changing constantly?For more info visit:   	{'place_id': '1d9a5370a355ab0c'}
19873152	2021-10-21T12:05:19.000Z	1451157650155180032	Contemplating starting to show up to white people’s weddings in Indian wedding attire. Our clothing is just SO much more comfortable than a suit and easier to travel with!	{'place_id': '1d9a5370a355ab0c'}
142361175	2021-10-21T07:36:04.000Z	1451089888716152838	 What would you say to this then?! 0 Year Old Playing 0u Travel Ball Against Kids Twice His Height!! 	{'place_id': '0da8a6c990f02eed'}
51335781	2021-10-21T03:21:21.000Z	1451025790494203905	*reconsidering my desire to visit Croatia*	{'place_id': '1d9a5370a355ab0c'}
1419393241707843586	2021-10-21T02:46:22.000Z	1451016985375088651	What are some of your food horror stories?! Some holiday nightmarish things? Aita vibes              	{'place_id': '1d9a5370a355ab0c'}
59681252	2021-10-21T00:40:41.000Z	1450985353859543040	The new sewing tutorial is here! Click on the link in my profile or visit Sew Anatasia on YouTube! @ Sew Anastasia 	{'coordinates': {'type': 'Point', 'coordinates': [-87.677855, 41.8875183]}, 'place_id': '1d9a5370a355ab0c'}
2924804790	2021-10-21T00:10:30.000Z	1450977760084643846	Thank you to Coach Griffin and the rest of the coaching staff for a awesome visit today. I really enjoyed learning about the campus and the basketball program!    	{'place_id': '422cf154312cd404'}
269437158	2021-10-21T00:03:51.000Z	1450976084997062656	lol corporate visit be hilarious	{'place_id': '1d9a5370a355ab0c'}
18478452	2021-10-22T23:25:20.000Z	1451691167893139460	 Come visit! Bring  with you!	{'place_id': '1d9a5370a355ab0c'}
1364076528871628800	2021-10-22T23:20:57.000Z	1451690064484999172	I am available now in Chicago, Illinois, United States! To get in touch, visit me on  	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-10-22T23:07:53.000Z	1451686776695840778	Three of England’s most beautiful stately homes are easy day trips from London	{'place_id': '1d9a5370a355ab0c'}
1932317846	2021-10-22T23:04:35.000Z	1451685947872092171	Traveling again has its benefits. 	{'place_id': '7c9d51a2fd0a7552'}
263661447	2021-10-22T21:26:46.000Z	1451661332898631683	 Just came back from a visit to Eugene Oregon with a terrific bus only lane that goes straight through the university and I saw students waiting at these clever shelters. 	{'place_id': '8b351eeb91372dc7'}
36690583	2021-10-22T21:02:50.000Z	1451655306715582466	  is making recordings of all the sessions available on their website for a few weeks to people who registered for the conference.  Not sure whether nonregistrants can get access. Visit  to find more info	{'place_id': '97d83d40844c1807'}
15694707	2021-10-22T20:54:08.000Z	1451653117494321163	Visit the New Factory, 0 years in the making in Los Angeles.  with Risk and  … 	{'place_id': '1d9a5370a355ab0c'}
