16817409	2020-05-27T13:38:02.000Z	1265638396539666433	 When I visit my sister in Portland, one of my favorite stops is Powell’s, particularly for the visual arts area—an online preview doesn’t do justice to books like that, you have to see them in person. I don’t know if we have anything close here in Chicago, probably just museums.	{'place_id': '1d9a5370a355ab0c'}
145755786	2020-05-27T12:26:19.000Z	1265620346570489861	  This is exactly why I will not use air travel anytime soon.  Mask check should be just as standard as scanning your boarding pass to enter the flight  and those who refuse to wear one should not be allowed to board!  Period.	{'place_id': 'c567a00616152df6'}
369518633	2020-05-27T11:54:17.000Z	1265612286372315136	We've got something for everyone! 😋 Give us a 📞 0-0-0 | open 0am till 0pm | Visit  for our complete menu!     … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.67896, 41.9429299]}}
708550851699191808	2020-05-27T09:19:22.000Z	1265573299406491648	Motivated Seller! This over-sized brick 0 unit in Auburn Gresham is one of the largest 0-flats in the entire neighborhood from a square footage perspective! Visit  for more details. Link to listing:  	{'place_id': '672e07077a8e12bc'}
18657798	2020-05-27T05:58:57.000Z	1265522863983022082	My friends came to visit me today. Life is good. 🥰	{'place_id': '1d9a5370a355ab0c'}
17980846	2020-05-27T03:54:17.000Z	1265491491528609794	 They are keeping my money as a travel voucher [glares]This is after I spend the extra 0 to get refundable tix 	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2020-05-27T03:07:04.000Z	1265479605663813633	Airline resumes flights to Italy (but turns around when airport's shut)   via 	{'place_id': '1d9a5370a355ab0c'}
438968455	2020-05-27T02:37:03.000Z	1265472053303484419	If you went to visit friends and didn’t practice proper hygiene practices/social distancing while you still live at home do you actually love your parents? Because how selfish do you have to be to put your parents lives at risk to do that shit???? I don’t wanna hear it at all.	{'place_id': '7ca9cc3e813b1534'}
4866870628	2020-05-27T01:24:54.000Z	1265453896283099136	i’m glad i didn’t see these slums during my visit 	{'place_id': '1d9a5370a355ab0c'}
418196076	2020-05-27T01:10:09.000Z	1265450182482759681	About to go get this anti body test this week so I can be at peace and travel if I’m gooddd	{'place_id': '2eb3293957fd451a'}
1939137912	2020-05-27T01:09:59.000Z	1265450143056162818	I didn’t forget about you, and Iknow you know that. Sometimes I wish I could visit you in heaven  cause I miss our convos so much.	{'place_id': '1d9a5370a355ab0c'}
97613792	2020-05-27T01:07:43.000Z	1265449572865904642	lmfao most mfs that had kids in they 0s dont be traveling the world when they children become toddlers  .. lmao	{'place_id': '1d9a5370a355ab0c'}
1174837546494386176	2020-05-27T00:35:36.000Z	1265441490949586944	 it is a beautiful night out here and from your kindness, I'm able to enjoy a tasty brew along with it. Fingers crossed I can take a beer cation in early July and visit  in purrson! 	{'place_id': '000a381c49091836'}
339154395	2020-05-27T00:05:53.000Z	1265434011561799680	🙏 Thank you for planning a visit to Veiled by ChaCha. We value our clients and want to maintain a safe environment during your visit. ❤️Veiled by ChaCha continues to monitor the impact of the COVID-0 (coronavirus)… 	{'place_id': 'd77ed7c9521c898d', 'coordinates': {'type': 'Point', 'coordinates': [-88.06305556, 41.87111111]}}
2738813435	2020-05-27T00:03:40.000Z	1265433454071726082	I’m leaning towards a closely supervised visit to see how she behaves and get some photos/video. She looks out the window with such a longing...  	{'place_id': '1d9a5370a355ab0c'}
365576835	2020-05-28T23:02:39.000Z	1266142873961013248	two of the best things you can ever spend your money on is traveling & making your home perfect to your liking ❤️❤️	{'place_id': 'ed888f00de07aa3a'}
279805086	2020-05-28T22:46:44.000Z	1266138867742191616	 There is not a travel ban. And raking leaves is socially distant not in a bar	{'place_id': '918c943e88cc3e5d'}
91272555	2020-05-28T21:18:25.000Z	1266116641655488514	     	{'place_id': '57ac88aefcd20988'}
91272555	2020-05-28T21:16:58.000Z	1266116278219165696	     	{'place_id': '57ac88aefcd20988'}
1214543334628319232	2020-05-28T21:11:39.000Z	1266114939279867904	Omg she’s so fluffy!! We love when our  come to visit  . Olive is just as happy or more than her dog dad to start bingeing her favorite shows at home with  and        	{'place_id': '07d9f0a6ef483000'}
