2021-09-14T11:06:23.000Z	1437734465363718146	Good Morning!The bumpy roads you travel along the way build life long character in your soul. @ Last House on the Left at the End of the Dead End Street 	{'coordinates': {'type': 'Point', 'coordinates': [-74.2728732, 40.462524]}, 'place_id': '7c09539af94ab80b'}
2021-09-14T10:52:28.000Z	1437730965279973377	Good Morning!The bumpy roads you travel along the way build life long character in your soul. @ Last House on the Left at the End of the Dead End Street 	{'coordinates': {'type': 'Point', 'coordinates': [-74.2728732, 40.462524]}, 'place_id': '7c09539af94ab80b'}
2021-09-14T10:01:41.000Z	1437718185130725382	Who do I know built & run boutique resort?   	{'place_id': 'fa3435044b52ecc7'}
2021-09-14T09:57:13.000Z	1437717060772106243	  Hey guys, how are you? I live in Hell's Kitchen and usually looking for hot fuck , groups. regular playmates would be cool. I can host on 0/0 or travel.  Where are you located? 😜	{'place_id': '01a9a39529b27f36'}
2021-09-14T05:44:12.000Z	1437653386405494785	Up to greet BloodyBiden in Boise. Might have to go visit this town soon. 	{'place_id': '011add077f4d2da3'}
2021-09-14T04:34:10.000Z	1437635762065903617	bro i just wanna travel the world 😭	{'place_id': '011add077f4d2da3'}
2021-09-14T04:04:10.000Z	1437628212851445763	  In their universe, time travel is a normal phenomenon.	{'place_id': '01a9a39529b27f36'}
2021-09-14T03:56:11.000Z	1437626203540795395	Oh how I miss vacation...time for another trip soon. Where should I go?   ✈ @ Punta Cana, Dominican Republic 	{'coordinates': {'type': 'Point', 'coordinates': [-73.53340387, 40.66501457]}, 'place_id': '897598c208cde261'}
2021-09-14T03:50:45.000Z	1437624836948381696	           en The Edge, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0010837, 40.75402207]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T03:46:21.000Z	1437623730281320448	  Noted! Checking out LPR on Oct 0nd next with Wild Rivers but will have to visit The Ballroom soon ✨	{'place_id': '01a9a39529b27f36'}
2021-09-14T03:26:43.000Z	1437618788829057028	           en The Vessel 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00225401, 40.75399636]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T02:39:10.000Z	1437606822882467846	Your 0/0 LCS & Card Show wrapped into one!💯 Trusted & Knowledgeable Sellers💯 Great Deals & Cards💯 Inventory updated daily💯 Fast & Easy TransactionsVisit my shop…✨The Point Sports Cards ✨ 	{'place_id': '00c55f041e27dc51'}
2021-09-14T02:36:19.000Z	1437606103454470146	Visit my shop ✨The Point Sports Cards✨💯 Trusted Seller💯 Loaded with new inventory💯 Fast & Easy transactions 	{'place_id': '00c55f041e27dc51'}
2021-09-14T02:36:01.000Z	1437606029085265922	 Guessing the answer to 0 is that not having to travel is part of why they agreed to this. Agree with your 0nd point	{'place_id': '1e11d8be00564690'}
2021-09-14T02:09:02.000Z	1437599239173984257	Went to visit the best server in nyc  at  this guy got me full before I even got the main course everything he recommended was on point @ Quality Italian 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9768271, 40.76451329]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T02:07:45.000Z	1437598915822592001	Broadway 🎭🗽…           en Times Square 0nd Street 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98723364, 40.75614854]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T02:05:13.000Z	1437598277814398978	Times Square 🗽…         en Times Square 0nd Street 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98723364, 40.75614854]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T02:03:37.000Z	1437597875723190273	Give em a booth & travel.   	{'place_id': '0e9d70267c50f090'}
2021-09-14T01:57:55.000Z	1437596440122085377	 Precious moments when Pegasus  pays you a visit and passionately awaiting you to finish your last sentence that he kindly brought you as a gift	{'place_id': 'b046074b1030a44d'}
